Results: 	[0.9139]	
Results: 	[0.9139, 0.9058]	
Results: 	[0.9139, 0.9058, 0.8669]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869, 0.8768]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869, 0.8768, 0.8971]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869, 0.8768, 0.8971, 0.8952]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869, 0.8768, 0.8971, 0.8952, 0.9136]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869, 0.8768, 0.8971, 0.8952, 0.9136, 0.9156]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869, 0.8768, 0.8971, 0.8952, 0.9136, 0.9156, 0.9164]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869, 0.8768, 0.8971, 0.8952, 0.9136, 0.9156, 0.9164, 0.9109]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869, 0.8768, 0.8971, 0.8952, 0.9136, 0.9156, 0.9164, 0.9109, 0.8722]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869, 0.8768, 0.8971, 0.8952, 0.9136, 0.9156, 0.9164, 0.9109, 0.8722, 0.8848]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869, 0.8768, 0.8971, 0.8952, 0.9136, 0.9156, 0.9164, 0.9109, 0.8722, 0.8848, 0.8926]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869, 0.8768, 0.8971, 0.8952, 0.9136, 0.9156, 0.9164, 0.9109, 0.8722, 0.8848, 0.8926, 0.9262]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869, 0.8768, 0.8971, 0.8952, 0.9136, 0.9156, 0.9164, 0.9109, 0.8722, 0.8848, 0.8926, 0.9262, 0.9141]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869, 0.8768, 0.8971, 0.8952, 0.9136, 0.9156, 0.9164, 0.9109, 0.8722, 0.8848, 0.8926, 0.9262, 0.9141, 0.9136]	
Results: 	[0.9139, 0.9058, 0.8669, 0.879, 0.9031, 0.8892, 0.9202, 0.907, 0.9026, 0.9125, 0.904, 0.8836, 0.9082, 0.9054, 0.8869, 0.8768, 0.8971, 0.8952, 0.9136, 0.9156, 0.9164, 0.9109, 0.8722, 0.8848, 0.8926, 0.9262, 0.9141, 0.9136, 0.9215]	
